2022 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:16 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,Group,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
SA,183,Grey,G,1,37755,"BLANDFORD, Lisa",National Party,NP,N,N,21,3,0,0,2,26
SA,183,Grey,G,2,37759,"BUIJS, Damien",National Party,NP,N,N,19,1,0,0,3,23
SA,183,Grey,H,0,38197,H Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,263,21,1,10,45,340
SA,183,Grey,H,1,36502,"MICHIE, Elise",Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,17,0,0,1,6,24
SA,183,Grey,H,2,36511,"DUXBURY, Jack",Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,4,0,0,0,1,5
SA,183,Grey,I,0,38193,I Above-the-line Votes,The Local Party of Australia,TLOC,N,N,298,10,0,12,20,340
SA,183,Grey,I,1,37857,"FINNEY, Julie-Ann",The Local Party,TLOC,N,N,16,0,1,1,9,27
SA,183,Grey,I,2,37858,"PARNELL, Rodney Kenneth",The Local Party,TLOC,N,N,5,0,0,0,0,5
SA,183,Grey,J,0,38206,J Above-the-line Votes,Australian Federation Party,CYA,N,N,282,13,4,9,30,338
SA,183,Grey,J,1,37753,"BYRNE, Cathy",Australian Federation Party,CYA,N,N,43,4,0,0,10,57
SA,183,Grey,J,2,37757,"DUFFIELD, Nick",Australian Federation Party,CYA,N,N,6,2,0,0,2,10
SA,183,Grey,K,0,38204,K Above-the-line Votes,Australian Democrats,AUD,N,N,254,9,2,7,43,315
SA,183,Grey,K,1,37098,"YAZBEK, Roger",Australian Democrats,AUD,N,N,18,0,0,1,1,20
SA,183,Grey,K,2,37106,"KANCK, Sandra",Australian Democrats,AUD,N,N,4,0,0,0,5,9
SA,183,Grey,L,0,38211,L Above-the-line Votes,Drew Pavlou Democratic Alliance,DPDA,N,N,41,2,0,2,2,47
SA,183,Grey,L,1,37787,"YARMUHAMMAD, Adila",Drew Pavlou Democratic Alliance,DPDA,N,N,8,0,0,0,1,9
SA,183,Grey,L,2,37790,"YARMUHAMMAD, Amina",Drew Pavlou Democratic Alliance,DPDA,N,N,0,0,0,0,0,0
SA,183,Grey,M,0,38210,M Above-the-line Votes,,,N,N,60,0,0,4,1,65
SA,183,Grey,M,1,37742,"KAUR, Harmeet",,,N,N,5,0,0,0,0,5
SA,183,Grey,M,2,37744,"KUMAR, Rajesh",,,N,N,0,0,0,0,0,0
SA,183,Grey,N,0,38192,N Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,N,N,140,4,0,8,28,180
SA,183,Grey,N,1,36052,"WOLFENDALE, Drew","FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,N,N,16,2,0,1,6,25
SA,183,Grey,N,2,36059,"KENNEDY, David","FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,N,N,3,0,0,0,0,3
SA,183,Grey,O,0,38190,O Above-the-line Votes,,,N,N,667,33,3,46,277,1026
SA,183,Grey,O,1,35952,"XENOPHON, Nick",,,N,N,464,21,1,26,185,697
SA,183,Grey,O,2,35960,"GRIFF, Stirling",,,N,Y,2,0,0,0,1,3
SA,183,Grey,P,0,38195,P Above-the-line Votes,The Greens,GRN,N,N,4530,313,60,236,558,5697
SA,183,Grey,P,1,36498,"POCOCK, Barbara",The Greens,GRN,Y,N,255,11,4,20,62,352
SA,183,Grey,P,2,36504,"SUMNER, Major Moogy",The Greens,GRN,N,N,55,0,1,2,7,65
