Division,State,Party,Senate Vote
Macnamara,VIC,ON,0.01107011070110701
Macnamara,VIC,UAPP,0.019311547582334613
Mallee,VIC,ALP,0.2070655203779232
Mallee,VIC,GRN,0.05029195152724392
Mallee,VIC,L/NP,0.4525199769177352
Mallee,VIC,ON,0.055221384349050794
Mallee,VIC,UAPP,0.057744784484023357
Maribyrnong,VIC,ALP,0.35278464765363304
Maribyrnong,VIC,GRN,0.14855628254494985
Maribyrnong,VIC,L/NP,0.28421459057279114
Maribyrnong,VIC,ON,0.019127821431925617
Maribyrnong,VIC,UAPP,0.03537551263187553
McEwen,VIC,ALP,0.3129608938547486
McEwen,VIC,GRN,0.11343016759776536
McEwen,VIC,L/NP,0.321608938547486
McEwen,VIC,ON,0.03929608938547486
McEwen,VIC,UAPP,0.045564245810055866
Melbourne,VIC,ALP,0.28712458569714716
Melbourne,VIC,GRN,0.35917769779784053
Melbourne,VIC,L/NP,0.1635555826673987
Melbourne,VIC,ON,0.007665873645255088
Melbourne,VIC,UAPP,0.01250533764411639
Menzies,VIC,ALP,0.3023361710552366
Menzies,VIC,GRN,0.11924371411601663
Menzies,VIC,L/NP,0.4042763809146704
Menzies,VIC,ON,0.016966937240150467
Menzies,VIC,UAPP,0.02858839833696298
Monash,VIC,ALP,0.26013186360358503
Monash,VIC,GRN,0.09652827856186258
Monash,VIC,L/NP,0.36971257855156076
Monash,VIC,ON,0.0599361285670135
Monash,VIC,UAPP,0.03772535283815803
Nicholls,VIC,ALP,0.20676453773276707
Nicholls,VIC,GRN,0.0493609114668409
Nicholls,VIC,L/NP,0.4503736524011761
Nicholls,VIC,ON,0.06571586082979418
Nicholls,VIC,UAPP,0.03879451159751715
Scullin,VIC,ALP,0.40935519565436074
Scullin,VIC,GRN,0.07498239613720954
Scullin,VIC,L/NP,0.2408711397243738
Scullin,VIC,ON,0.03869832008852228
Scullin,VIC,UAPP,0.0704858666130168
Wannon,VIC,ALP,0.24616470449844627
Wannon,VIC,GRN,0.09392920510131061
Wannon,VIC,L/NP,0.42028957093703745
Wannon,VIC,ON,0.03541705468910825
Wannon,VIC,UAPP,0.03267230647074393
Wills,VIC,ALP,0.3462085308056872
Wills,VIC,GRN,0.24011202068074106
Wills,VIC,L/NP,0.1686557518311073
Wills,VIC,ON,0.017233950883239983
Wills,VIC,UAPP,0.032442912537699264
Brand,WA,ALP,0.4325576254496493
Brand,WA,GRN,0.11982275275818412
Brand,WA,L/NP,0.222593999316734
Brand,WA,ON,0.044954884347179515
Brand,WA,UAPP,0.027772753762987077
Burt,WA,ALP,0.44551649471404914
Burt,WA,GRN,0.10534751411709761
Burt,WA,L/NP,0.22951428692735532
Burt,WA,ON,0.03778711841379018
Burt,WA,UAPP,0.023256060799048954
Canning,WA,ALP,0.33132186251325124
Canning,WA,GRN,0.09415518225556552
Canning,WA,L/NP,0.346153062056593
Canning,WA,ON,0.04922327326102911
Canning,WA,UAPP,0.027613552964201257
Cowan,WA,ALP,0.4142700287018666
Cowan,WA,GRN,0.11723460404908212
Cowan,WA,L/NP,0.2871053493344634
Cowan,WA,ON,0.026505884845799705
Cowan,WA,UAPP,0.02454105907961397
Curtin,WA,ALP,0.23856184729202085
Curtin,WA,GRN,0.20301903712145272
Curtin,WA,L/NP,0.4378070880116577
Curtin,WA,ON,0.012087357782053916
Curtin,WA,UAPP,0.013908868421544268
Durack,WA,ALP,0.3017370260822802
Durack,WA,GRN,0.10560903468674375
Durack,WA,L/NP,0.3345522990051089
Durack,WA,ON,0.06729766066146814
Durack,WA,UAPP,0.021952137671417047
Forrest,WA,ALP,0.2916700870136267
Forrest,WA,GRN,0.1431312592349368
Forrest,WA,L/NP,0.346853964866196
Forrest,WA,ON,0.04678008537186012
Forrest,WA,UAPP,0.01775160072237728
Fremantle,WA,ALP,0.3788577752965259
Fremantle,WA,GRN,0.19939470513912966
Fremantle,WA,L/NP,0.2482982203547537
Fremantle,WA,ON,0.025289180109501562
Fremantle,WA,UAPP,0.019608419279326928
Hasluck,WA,ALP,0.3639380530973451
Hasluck,WA,GRN,0.13011982144255618
Hasluck,WA,L/NP,0.29970044639360954
Hasluck,WA,ON,0.03649463544521889
Hasluck,WA,UAPP,0.02595152322029916
Moore,WA,ALP,0.3026106083341877
Moore,WA,GRN,0.14519120539084562
Moore,WA,L/NP,0.3749266028538675
Moore,WA,ON,0.028193824387425088
Moore,WA,UAPP,0.021585751167364133
O'Connor,WA,ALP,0.2723139002649964
O'Connor,WA,GRN,0.1092708584276881
O'Connor,WA,L/NP,0.3747289809684413
O'Connor,WA,ON,0.057124789207419896
O'Connor,WA,UAPP,0.017887256082871596
Pearce,WA,ALP,0.36873950260031974
Pearce,WA,GRN,0.11401946698504563
Pearce,WA,L/NP,0.2953942975089544
Pearce,WA,ON,0.042475261549669144
Pearce,WA,UAPP,0.02925106744642532
Perth,WA,ALP,0.3495061174093613
Perth,WA,GRN,0.2349777378680735
Perth,WA,L/NP,0.2713173943951809
Perth,WA,ON,0.018558012496726155
Perth,WA,UAPP,0.016790137314326336
Swan,WA,ALP,0.36308706664862045
Swan,WA,GRN,0.16586747616929948
Swan,WA,L/NP,0.30485894932229934
Swan,WA,ON,0.023879038651172683
Swan,WA,UAPP,0.01871652584156693
Tangney,WA,ALP,0.34688559961235704
Tangney,WA,GRN,0.1385000777114437
Tangney,WA,L/NP,0.37285950685232083
Tangney,WA,ON,0.016977664816829555
Tangney,WA,UAPP,0.015524003693579206
